"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Aug-2024","EQ","3,010.00","3,014.95","2,986.00","3,000.90","2,999.00","2,996.60","2,999.57","3,217.60","2,220.30","48,05,143","14,41,33,56,125.80","2,00,883"
"27-Aug-2024","EQ","3,021.00","3,026.95","2,998.90","3,025.20","3,001.00","3,000.90","3,008.12","3,217.60","2,220.30","31,25,578","9,40,21,08,149.05","1,01,024"
"26-Aug-2024","EQ","3,013.95","3,046.00","3,006.00","2,999.95","3,021.20","3,025.20","3,028.80","3,217.60","2,220.30","44,08,057","13,35,11,14,538.35","2,37,540"
"23-Aug-2024","EQ","3,007.50","3,022.65","2,996.85","2,996.25","2,996.85","2,999.95","3,007.21","3,217.60","2,220.30","46,24,827","13,90,78,42,193.30","1,68,002"
"22-Aug-2024","EQ","3,006.00","3,013.00","2,981.30","2,997.35","2,996.50","2,996.25","2,994.88","3,217.60","2,220.30","52,22,891","15,64,19,35,953.20","2,33,216"
"21-Aug-2024","EQ","2,986.50","3,015.75","2,980.00","2,991.90","2,999.00","2,997.35","3,001.42","3,217.60","2,220.30","38,84,998","11,66,05,26,038.60","1,41,353"
"20-Aug-2024","EQ","2,994.45","3,007.85","2,980.05","2,976.80","2,986.50","2,991.90","2,996.98","3,217.60","2,220.30","42,05,904","12,60,50,24,714.40","1,75,516"
"19-Aug-2024","EQ","2,965.00","2,996.60","2,961.00","2,956.40","2,979.00","2,976.80","2,980.25","3,217.60","2,220.30","68,98,871","20,56,03,27,724.60","2,00,328"
"16-Aug-2024","EQ","2,937.30","2,960.80","2,916.10","2,923.70","2,957.75","2,956.40","2,944.77","3,217.60","2,220.30","47,08,451","13,86,53,25,209.75","1,87,365"
"14-Aug-2024","EQ","2,927.10","2,944.00","2,907.40","2,927.25","2,920.10","2,923.70","2,925.78","3,217.60","2,220.30","31,33,733","9,16,86,16,380.80","1,85,733"
"13-Aug-2024","EQ","2,921.50","2,940.15","2,916.00","2,921.25","2,925.00","2,927.25","2,928.29","3,217.60","2,220.30","31,32,532","9,17,29,71,802.70","1,34,517"
"12-Aug-2024","EQ","2,940.00","2,946.00","2,915.50","2,948.60","2,923.00","2,921.25","2,929.82","3,217.60","2,220.30","40,92,292","11,98,96,80,025.65","1,88,301"
"09-Aug-2024","EQ","2,920.00","2,953.00","2,912.00","2,898.25","2,946.10","2,948.60","2,939.20","3,217.60","2,220.30","31,24,888","9,18,46,80,574.05","1,50,169"
"08-Aug-2024","EQ","2,915.05","2,930.00","2,891.85","2,929.65","2,896.45","2,898.25","2,905.69","3,217.60","2,220.30","61,93,596","17,99,66,62,105.65","2,55,138"
"07-Aug-2024","EQ","2,938.00","2,945.00","2,923.00","2,912.10","2,930.00","2,929.65","2,930.89","3,217.60","2,220.30","40,87,284","11,97,93,63,870.55","2,76,362"
"06-Aug-2024","EQ","2,910.30","2,955.00","2,902.65","2,894.65","2,915.55","2,912.10","2,929.53","3,217.60","2,220.30","51,18,093","14,99,35,89,440.05","1,97,549"
"05-Aug-2024","EQ","2,960.00","2,967.80","2,866.50","2,998.65","2,896.00","2,894.65","2,901.81","3,217.60","2,220.30","85,23,352","24,73,31,28,212.00","4,48,630"
"02-Aug-2024","EQ","3,010.00","3,018.65","2,986.55","3,030.60","2,992.00","2,998.65","3,001.82","3,217.60","2,220.30","51,34,124","15,41,16,92,078.15","1,76,635"
"01-Aug-2024","EQ","3,024.00","3,036.00","3,008.60","3,010.85","3,035.90","3,030.60","3,025.50","3,217.60","2,220.30","53,82,111","16,28,35,66,572.30","2,19,081"
"31-Jul-2024","EQ","3,008.00","3,020.90","3,002.30","3,026.30","3,009.00","3,010.85","3,010.83","3,217.60","2,220.30","50,28,673","15,14,04,71,169.85","2,01,961"
"30-Jul-2024","EQ","3,034.05","3,050.00","3,020.00","3,040.20","3,023.00","3,026.30","3,033.38","3,217.60","2,220.30","41,14,104","12,47,96,37,390.30","1,84,296"
"29-Jul-2024","EQ","3,023.90","3,055.00","3,023.55","3,018.05","3,038.25","3,040.20","3,038.43","3,217.60","2,220.30","37,69,275","11,45,26,61,155.40","1,70,155"
"26-Jul-2024","EQ","2,984.80","3,024.85","2,980.70","2,984.80","3,018.60","3,018.05","3,012.08","3,217.60","2,220.30","49,29,970","14,84,94,80,970.80","1,80,757"
"25-Jul-2024","EQ","2,962.00","3,000.95","2,954.15","2,991.40","2,988.35","2,984.80","2,980.72","3,217.60","2,220.30","62,59,938","18,65,91,22,151.40","2,21,753"
"24-Jul-2024","EQ","2,970.00","3,019.00","2,952.80","2,975.80","2,988.00","2,991.40","2,987.68","3,217.60","2,220.30","59,56,681","17,79,66,51,407.60","2,32,120"
"23-Jul-2024","EQ","3,002.00","3,011.50","2,926.00","3,001.35","2,970.05","2,975.80","2,969.60","3,217.60","2,220.30","90,26,022","26,80,36,49,945.60","3,84,359"
"22-Jul-2024","EQ","3,074.50","3,075.00","2,998.55","3,110.30","3,004.00","3,001.35","3,016.24","3,217.60","2,220.30","98,37,188","29,67,13,39,998.45","4,65,224"
"19-Jul-2024","EQ","3,172.00","3,179.95","3,105.60","3,173.35","3,116.95","3,110.30","3,128.40","3,217.60","2,220.30","65,70,195","20,55,41,78,349.45","2,13,186"
"18-Jul-2024","EQ","3,152.00","3,187.80","3,115.65","3,152.50","3,170.60","3,173.35","3,155.52","3,217.60","2,220.30","61,49,187","19,40,39,09,511.40","2,12,178"
"16-Jul-2024","EQ","3,187.00","3,200.00","3,138.25","3,194.45","3,148.30","3,152.50","3,166.04","3,217.60","2,220.30","46,93,419","14,85,95,48,266.10","2,30,262"
"15-Jul-2024","EQ","3,208.90","3,211.70","3,171.00","3,193.45","3,193.60","3,194.45","3,191.40","3,217.60","2,220.30","26,64,844","8,50,45,91,755.00","1,87,867"
"12-Jul-2024","EQ","3,169.00","3,210.30","3,149.00","3,161.30","3,195.00","3,193.45","3,186.07","3,217.60","2,220.30","64,62,392","20,58,96,34,191.20","2,46,838"
"11-Jul-2024","EQ","3,175.00","3,208.50","3,141.00","3,168.45","3,170.00","3,161.30","3,169.61","3,217.60","2,220.30","59,70,473","18,92,40,71,474.55","2,46,252"
"10-Jul-2024","EQ","3,190.00","3,195.00","3,126.30","3,180.55","3,164.00","3,168.45","3,154.77","3,217.60","2,220.30","35,67,289","11,25,39,68,347.05","1,82,113"
"09-Jul-2024","EQ","3,195.20","3,201.00","3,161.00","3,201.80","3,176.30","3,180.55","3,178.56","3,217.60","2,220.30","34,80,001","11,06,14,03,124.60","1,59,638"
"08-Jul-2024","EQ","3,178.00","3,217.60","3,165.05","3,177.25","3,201.50","3,201.80","3,195.83","3,217.60","2,220.30","47,50,403","15,18,14,79,272.55","2,40,527"
"05-Jul-2024","EQ","3,107.65","3,197.00","3,096.00","3,108.05","3,189.90","3,177.25","3,149.82","3,197.00","2,220.30","61,34,855","19,32,37,16,027.90","2,61,494"
"04-Jul-2024","EQ","3,114.00","3,135.00","3,101.60","3,104.85","3,106.00","3,108.05","3,116.99","3,162.00","2,220.30","34,18,588","10,65,57,15,706.45","1,73,336"
"03-Jul-2024","EQ","3,132.65","3,150.00","3,085.55","3,130.35","3,109.00","3,104.85","3,104.97","3,162.00","2,220.30","45,24,810","14,04,94,06,822.65","1,85,754"
"02-Jul-2024","EQ","3,139.00","3,147.00","3,114.00","3,120.30","3,126.20","3,130.35","3,129.71","3,162.00","2,220.30","38,74,623","12,12,64,29,929.15","1,79,115"
"01-Jul-2024","EQ","3,125.05","3,158.80","3,111.35","3,130.80","3,123.00","3,120.30","3,126.53","3,162.00","2,220.30","38,62,153","12,07,51,37,299.45","1,86,641"
"28-Jun-2024","EQ","3,062.05","3,162.00","3,062.05","3,061.10","3,128.25","3,130.80","3,120.51","3,162.00","2,220.30","1,44,78,668","45,18,08,50,345.25","4,84,009"
"27-Jun-2024","EQ","3,027.50","3,075.00","3,012.00","3,028.05","3,057.10","3,061.10","3,056.99","3,075.00","2,220.30","1,41,91,515","43,38,32,60,604.40","4,37,882"
"26-Jun-2024","EQ","2,892.10","3,037.95","2,890.25","2,908.30","3,021.10","3,028.05","2,984.44","3,037.95","2,220.30","1,10,07,441","32,85,09,99,298.60","3,55,204"
"25-Jun-2024","EQ","2,886.00","2,911.85","2,882.00","2,882.95","2,905.05","2,908.30","2,897.19","3,029.00","2,220.30","35,22,693","10,20,59,07,632.15","1,43,772"
"24-Jun-2024","EQ","2,891.05","2,899.00","2,875.00","2,908.40","2,885.00","2,882.95","2,885.46","3,029.00","2,220.30","44,39,193","12,80,91,05,423.85","2,04,050"
"21-Jun-2024","EQ","2,947.25","2,949.40","2,881.15","2,947.40","2,912.00","2,908.40","2,909.13","3,029.00","2,220.30","1,55,85,180","45,33,93,57,875.00","3,38,377"
"20-Jun-2024","EQ","2,918.00","2,965.70","2,900.20","2,917.30","2,949.00","2,947.40","2,945.61","3,029.00","2,220.30","80,56,888","23,73,24,84,114.90","2,19,372"
"19-Jun-2024","EQ","2,975.00","2,975.00","2,912.00","2,962.05","2,917.00","2,917.30","2,935.27","3,029.00","2,220.30","43,62,937","12,80,63,97,074.45","1,81,800"
"18-Jun-2024","EQ","2,974.70","2,974.80","2,942.70","2,955.10","2,959.90","2,962.05","2,956.95","3,029.00","2,220.30","35,98,383","10,64,02,38,520.10","2,28,749"
"14-Jun-2024","EQ","2,940.00","2,959.35","2,914.45","2,930.50","2,951.45","2,955.10","2,944.28","3,029.00","2,220.30","40,78,999","12,00,97,35,003.50","1,50,934"
"13-Jun-2024","EQ","2,944.00","2,944.50","2,920.20","2,926.65","2,927.60","2,930.50","2,932.52","3,029.00","2,220.30","45,90,580","13,46,19,77,299.90","1,50,823"
"12-Jun-2024","EQ","2,915.00","2,952.00","2,910.35","2,913.35","2,924.50","2,926.65","2,933.93","3,029.00","2,220.30","50,40,871","14,78,95,62,953.35","1,94,907"
"11-Jun-2024","EQ","2,938.00","2,947.35","2,909.35","2,942.80","2,915.05","2,913.35","2,927.47","3,029.00","2,220.30","58,87,451","17,23,53,09,310.25","2,10,257"
"10-Jun-2024","EQ","2,939.90","2,986.70","2,936.15","2,939.90","2,944.05","2,942.80","2,961.63","3,029.00","2,220.30","46,25,880","13,70,01,44,470.70","2,13,285"
"07-Jun-2024","EQ","2,857.00","2,944.00","2,853.00","2,863.20","2,931.10","2,939.90","2,917.34","3,029.00","2,220.30","92,79,348","27,07,10,00,141.85","3,44,744"
"06-Jun-2024","EQ","2,870.00","2,887.40","2,842.70","2,841.50","2,872.00","2,863.20","2,860.47","3,029.00","2,220.30","89,27,861","25,53,78,85,916.05","3,61,277"
"05-Jun-2024","EQ","2,844.00","2,862.30","2,768.20","2,794.55","2,838.85","2,841.50","2,821.32","3,029.00","2,220.30","87,32,445","24,63,70,03,697.65","4,74,290"
"04-Jun-2024","EQ","2,996.10","2,996.10","2,718.60","3,020.65","2,816.45","2,794.55","2,840.81","3,029.00","2,220.30","1,83,54,549","52,14,18,56,366.90","6,87,198"
"03-Jun-2024","EQ","2,966.00","3,029.00","2,918.00","2,860.80","3,027.75","3,020.65","2,978.07","3,029.00","2,220.30","1,07,63,971","32,05,59,04,968.10","5,27,552"
"31-May-2024","EQ","2,862.60","2,884.50","2,844.50","2,849.70","2,859.00","2,860.80","2,859.97","3,024.90","2,220.30","1,55,34,916","44,42,93,52,174.10","2,91,018"
"30-May-2024","EQ","2,871.00","2,880.80","2,840.20","2,881.55","2,859.10","2,849.70","2,853.56","3,024.90","2,220.30","66,03,429","18,84,33,10,309.75","2,48,791"
"29-May-2024","EQ","2,893.00","2,916.00","2,876.90","2,912.40","2,881.05","2,881.55","2,892.28","3,024.90","2,220.30","36,91,778","10,67,76,49,558.60","1,66,778"
"28-May-2024","EQ","2,936.00","2,957.00","2,905.50","2,932.50","2,911.00","2,912.40","2,930.70","3,024.90","2,220.30","39,10,081","11,45,92,72,719.50","1,77,899"
"27-May-2024","EQ","2,960.45","2,969.80","2,923.10","2,960.50","2,934.90","2,932.50","2,944.31","3,024.90","2,220.30","33,14,505","9,75,89,27,330.85","1,42,936"
"24-May-2024","EQ","2,967.25","2,977.00","2,952.20","2,972.10","2,959.00","2,960.50","2,962.79","3,024.90","2,220.30","35,47,388","10,51,01,70,789.40","1,42,807"
"23-May-2024","EQ","2,917.10","2,984.45","2,910.00","2,921.30","2,969.00","2,972.10","2,956.98","3,024.90","2,220.30","73,04,130","21,59,81,31,626.70","2,54,418"
"22-May-2024","EQ","2,872.55","2,937.55","2,872.55","2,872.25","2,921.00","2,921.30","2,918.56","3,024.90","2,220.30","51,40,802","15,00,37,55,079.70","2,41,909"
"21-May-2024","EQ","2,851.20","2,883.65","2,851.20","2,869.65","2,867.95","2,872.25","2,867.19","3,024.90","2,220.30","55,88,064","16,02,20,37,765.60","3,03,596"
"18-May-2024","EQ","2,875.00","2,879.00","2,865.40","2,871.40","2,869.50","2,869.65","2,871.38","3,024.90","2,220.30","2,13,020","61,16,60,842.00","9,456"
"17-May-2024","EQ","2,846.10","2,874.40","2,826.50","2,850.70","2,870.10","2,871.40","2,859.68","3,024.90","2,220.30","54,58,238","15,60,87,99,277.70","2,00,677"
"16-May-2024","EQ","2,837.10","2,855.00","2,796.05","2,832.55","2,851.00","2,850.70","2,830.30","3,024.90","2,220.30","73,55,887","20,81,93,70,913.85","3,59,411"
"15-May-2024","EQ","2,841.00","2,859.95","2,826.05","2,840.15","2,831.70","2,832.55","2,841.94","3,024.90","2,220.30","25,23,267","7,17,09,75,946.20","1,47,326"
"14-May-2024","EQ","2,801.95","2,854.15","2,800.05","2,805.40","2,839.00","2,840.15","2,834.55","3,024.90","2,220.30","35,94,150","10,18,77,93,904.10","2,48,782"
"13-May-2024","EQ","2,799.80","2,813.95","2,768.00","2,814.85","2,805.00","2,805.40","2,795.26","3,024.90","2,220.30","42,28,310","11,81,92,08,707.95","2,00,542"
"10-May-2024","EQ","2,793.50","2,820.00","2,776.15","2,788.25","2,808.00","2,814.85","2,800.80","3,024.90","2,220.30","52,52,548","14,71,13,41,390.80","2,38,752"
"09-May-2024","EQ","2,826.00","2,847.50","2,780.00","2,837.10","2,785.00","2,788.25","2,800.69","3,024.90","2,220.30","55,04,806","15,41,72,56,016.70","2,80,459"
"08-May-2024","EQ","2,795.00","2,865.90","2,795.00","2,802.95","2,834.25","2,837.10","2,834.70","3,024.90","2,220.30","47,19,501","13,37,83,80,314.55","1,91,054"
"07-May-2024","EQ","2,831.95","2,841.50","2,784.00","2,839.05","2,808.00","2,802.95","2,804.43","3,024.90","2,220.30","72,58,736","20,35,65,96,310.45","3,08,242"
"06-May-2024","EQ","2,871.00","2,880.00","2,836.00","2,868.00","2,843.40","2,839.05","2,851.80","3,024.90","2,220.30","36,97,104","10,54,34,11,394.40","1,68,077"
"03-May-2024","EQ","2,942.00","2,949.90","2,832.30","2,933.10","2,871.00","2,868.00","2,876.27","3,024.90","2,220.30","86,13,479","24,77,47,10,139.90","3,58,280"
"02-May-2024","EQ","2,944.00","2,954.65","2,928.25","2,934.00","2,938.10","2,933.10","2,941.23","3,024.90","2,220.30","72,56,323","21,34,25,18,418.90","3,06,721"
"30-Apr-2024","EQ","2,936.00","2,966.15","2,925.75","2,930.05","2,932.00","2,934.00","2,947.60","3,024.90","2,220.30","57,37,131","16,91,07,77,825.20","2,10,901"
"29-Apr-2024","EQ","2,900.00","2,935.80","2,900.00","2,905.10","2,927.50","2,930.05","2,926.58","3,024.90","2,220.30","36,23,987","10,60,58,75,230.60","1,58,806"
"26-Apr-2024","EQ","2,927.90","2,930.00","2,900.00","2,919.95","2,908.50","2,905.10","2,911.85","3,024.90","2,220.30","47,06,924","13,70,58,73,642.80","2,08,164"
"25-Apr-2024","EQ","2,885.00","2,935.95","2,883.00","2,900.35","2,917.70","2,919.95","2,914.62","3,024.90","2,220.30","79,71,963","23,23,52,72,655.30","2,36,911"
"24-Apr-2024","EQ","2,927.00","2,937.10","2,899.00","2,918.65","2,901.45","2,900.35","2,917.88","3,024.90","2,220.30","52,31,388","15,26,45,81,699.05","1,86,848"
"23-Apr-2024","EQ","2,958.00","2,987.00","2,911.10","2,959.70","2,919.50","2,918.65","2,944.51","3,024.90","2,220.30","73,02,777","21,50,31,28,837.35","3,39,439"
"22-Apr-2024","EQ","2,944.90","2,965.65","2,935.60","2,940.25","2,962.90","2,959.70","2,950.88","3,024.90","2,220.30","51,75,181","15,27,13,48,793.50","1,63,758"
"19-Apr-2024","EQ","2,913.55","2,948.00","2,886.05","2,928.65","2,943.05","2,940.25","2,922.72","3,024.90","2,220.30","78,70,889","23,00,43,85,019.15","2,57,506"
"18-Apr-2024","EQ","2,927.00","2,972.00","2,918.70","2,931.50","2,925.00","2,928.65","2,940.33","3,024.90","2,220.30","95,02,846","27,94,15,31,144.35","2,92,105"
"16-Apr-2024","EQ","2,906.70","2,942.35","2,901.85","2,929.65","2,936.50","2,931.50","2,922.76","3,024.90","2,220.30","46,83,092","13,68,75,64,159.45","2,02,013"
"15-Apr-2024","EQ","2,922.00","2,964.25","2,892.65","2,934.30","2,931.00","2,929.65","2,937.49","3,024.90","2,220.30","64,51,031","18,94,98,08,687.30","2,78,625"
"12-Apr-2024","EQ","2,951.75","2,972.95","2,926.15","2,959.15","2,937.15","2,934.30","2,950.89","3,024.90","2,220.30","77,75,506","22,94,46,47,360.80","3,18,190"
"10-Apr-2024","EQ","2,932.70","2,974.00","2,932.70","2,927.30","2,955.00","2,959.15","2,956.51","3,024.90","2,220.30","45,69,165","13,50,87,81,489.15","2,47,782"
"09-Apr-2024","EQ","2,978.00","2,979.60","2,925.00","2,971.95","2,931.90","2,927.30","2,942.09","3,024.90","2,220.30","35,35,707","10,40,23,78,582.00","1,66,238"
"08-Apr-2024","EQ","2,925.95","2,981.95","2,922.00","2,920.20","2,970.00","2,971.95","2,967.76","3,024.90","2,220.30","41,78,559","12,40,09,63,621.65","1,44,054"
"05-Apr-2024","EQ","2,921.75","2,941.60","2,912.00","2,925.85","2,925.95","2,920.20","2,924.97","3,024.90","2,220.30","37,21,149","10,88,42,50,027.90","1,38,742"
"04-Apr-2024","EQ","2,959.50","2,959.50","2,900.00","2,943.20","2,931.00","2,925.85","2,924.41","3,024.90","2,220.30","72,45,136","21,18,77,69,929.50","3,05,593"
"03-Apr-2024","EQ","2,964.15","2,968.90","2,937.80","2,973.90","2,944.95","2,943.20","2,950.91","3,024.90","2,220.30","35,04,146","10,34,04,31,852.20","1,52,022"
"02-Apr-2024","EQ","2,968.00","2,988.00","2,950.00","2,969.55","2,977.00","2,973.90","2,964.64","3,024.90","2,220.30","44,55,083","13,20,77,26,108.30","1,44,866"
"01-Apr-2024","EQ","2,984.95","2,987.95","2,965.00","2,971.70","2,974.80","2,969.55","2,973.78","3,024.90","2,220.30","25,06,940","7,45,50,79,986.05","1,28,873"
